//Type,ID,Name,BasePrice,Quantity,SubclassAttribute
E,77815,Electric Mixer,29.49,2,6
E,53281,Toaster Oven,18.06,25,36
B,66648,Sparkling Water,4.59,53,TRUE
B,15458,Apple Juice,1.89,103,FALSE
E,45681,Blender Pro,33.17,15,36
P,94273,Romaine Lettuce,12.02,12,6/19/2026
E,16581,Blender Pro,55.92,5,12
B,48279,Organic Green Tea,2.91,60,FALSE
E,35335,Electric Mixer,23.29,15,6
E,56341,Toaster Oven,73.96,3,36
E,27245,Electric Kettle,80.16,15,36
B,4325,Diet Soda Can,1.75,69,FALSE
P,17905,Romaine Lettuce,14.49,60,7/11/2026
E,86958,Blender Pro,30.31,4,36
B,14929,Apple Juice,6.48,88,FALSE
B,49608,Sparkling Water,6.22,82,TRUE
B,56413,Organic Green Tea,1.8,36,FALSE
E,45227,Electric Mixer,34.01,3,6
P,10339,Avocados Bag,9.27,28,7/4/2026
E,77765,Toaster Oven,119.3,18,6
P,61286,Romaine Lettuce,10.46,13,6/23/2026
P,65527,Avocados Bag,13.5,42,7/14/2026
P,54800,Whole Milk,12.77,26,6/3/2026
P,91013,Fresh Strawberries,9.39,59,6/25/2026
B,91033,Classic Cola,5.54,88,FALSE
E,59391,Mini Rice Cooker,37.19,19,36
P,5653,Whole Milk,13.77,38,6/4/2026
E,20948,Toaster Oven,98.37,2,6
B,9341,Energy Drink,2.9,82,FALSE
E,51979,Coffee Maker,24.38,10,36
P,44815,Fresh Strawberries,2.96,5,7/13/2026
E,2802,Coffee Maker,76.92,17,12
E,48689,Blender Pro,76.42,20,36
B,60556,Organic Green Tea,6.33,72,TRUE
B,62636,Organic Green Tea,9.01,58,FALSE
E,33168,Toaster Oven,28.93,25,6
P,74125,Fresh Strawberries,4.23,24,6/23/2026
P,94329,Fresh Strawberries,8.86,55,6/24/2026
P,2117,Avocados Bag,6.6,23,6/5/2026
B,86356,Organic Green Tea,1.06,23,TRUE
B,13173,Energy Drink,3.07,118,TRUE
B,256,Apple Juice,7.95,52,TRUE
B,24363,Apple Juice,5.97,23,TRUE
B,2532,Diet Soda Can,1.99,114,TRUE
P,84121,Organic Eggs,3.29,54,7/8/2026
B,36409,Apple Juice,7.76,31,TRUE
P,6740,Avocados Bag,12.25,22,6/22/2026
P,61276,Whole Milk,6.21,41,6/24/2026
P,56272,Baby Spinach,3.09,55,7/15/2026
B,10608,Organic Green Tea,3.02,38,TRUE
P,69877,Organic Eggs,8.82,14,6/3/2026
P,2161,Avocados Bag,5.76,41,7/13/2026
E,37123,Electric Kettle,97.84,22,12
P,19649,Whole Milk,5.44,16,6/14/2026
P,75364,Romaine Lettuce,4.82,9,6/20/2026
P,65980,Whole Milk,7.79,9,6/22/2026
E,76221,Coffee Maker,95.86,2,6
P,22616,Avocados Bag,7.44,25,6/21/2026
B,94850,Apple Juice,9.05,12,FALSE
E,93754,Blender Pro,72.56,17,6
E,78865,Toaster Oven,52.76,15,12
E,63858,Electric Mixer,31.18,5,36
P,84949,Organic Eggs,4.85,21,6/21/2026
E,22496,Blender Pro,32.91,22,6
P,85598,Whole Milk,8.22,27,6/4/2026
B,63390,Apple Juice,3.96,49,TRUE
P,19652,Fresh Strawberries,13.42,56,6/1/2026
E,6153,Electric Mixer,48.6,13,36
E,83717,Mini Rice Cooker,22.3,19,6
P,28851,Whole Milk,12.52,46,6/20/2026
B,72030,Classic Cola,5.93,103,TRUE
B,72994,Diet Soda Can,5.84,23,TRUE
B,21713,Energy Drink,9.88,85,FALSE
B,30516,Diet Soda Can,3.44,72,FALSE
E,80737,Coffee Maker,51.62,3,6
P,64828,Whole Milk,7.19,39,6/21/2026
E,45140,Electric Mixer,77.78,11,12
B,88660,Classic Cola,7.18,69,FALSE
B,48889,Organic Green Tea,6.27,120,FALSE
P,62958,Whole Milk,11.13,38,6/20/2026
E,36470,Toaster Oven,51.88,8,6
E,29289,Toaster Oven,48.61,21,6
P,14634,Whole Milk,6.89,34,7/15/2026
P,79575,Romaine Lettuce,11.87,23,6/7/2026
E,55280,Blender Pro,97.82,4,36
E,25621,Coffee Maker,116.19,24,12
P,43833,Organic Eggs,5.77,58,7/4/2026
P,33131,Organic Eggs,4.56,53,7/16/2026
P,50994,Avocados Bag,8.16,6,6/18/2026
P,12608,Whole Milk,7.08,49,6/22/2026
P,75010,Whole Milk,13.02,60,6/20/2026
E,66870,Electric Kettle,84.58,6,6
B,67914,Diet Soda Can,6.71,101,FALSE
B,77677,Organic Green Tea,9.71,98,TRUE
E,5395,Coffee Maker,113.36,15,12
E,41233,Electric Kettle,107.26,18,6
E,77164,Electric Mixer,86.48,25,12
P,67924,Avocados Bag,7.05,36,6/7/2026
B,1563,Classic Cola,8.02,119,FALSE
B,95616,Sparkling Water,4.31,56,TRUE
P,97343,Avocados Bag,12.04,18,6/5/2026
B,14192,Diet Soda Can,6.18,77,FALSE
B,58549,Classic Cola,5.67,45,TRUE
B,80887,Sparkling Water,8.84,39,FALSE
B,14962,Sparkling Water,4.26,91,FALSE
E,67644,Electric Kettle,73.18,23,12
P,20278,Fresh Strawberries,3.88,5,6/18/2026
P,29261,Fresh Strawberries,5.51,19,6/29/2026
B,79468,Diet Soda Can,6.59,85,FALSE
P,3731,Whole Milk,6.72,11,6/18/2026
P,60969,Avocados Bag,8.11,30,7/6/2026
E,58405,Toaster Oven,107.7,12,6
E,1388,Mini Rice Cooker,38.9,3,36
P,51725,Whole Milk,10.98,32,6/4/2026
P,38879,Baby Spinach,8.15,51,6/24/2026
E,38480,Blender Pro,85.07,12,12
E,75813,Blender Pro,69.91,19,6
B,98472,Apple Juice,6.22,22,TRUE
E,61612,Electric Kettle,39.6,4,6
B,78949,Organic Green Tea,9.75,31,TRUE
B,5476,Organic Green Tea,1.37,23,TRUE
P,72903,Fresh Strawberries,11.89,39,6/16/2026
P,13464,Fresh Strawberries,12.69,6,7/13/2026
B,38083,Organic Green Tea,6.93,55,TRUE
P,33248,Fresh Strawberries,7.56,21,6/11/2026
E,47616,Electric Mixer,23.81,22,12
P,88072,Romaine Lettuce,14.21,50,7/14/2026
P,26057,Whole Milk,13.58,37,6/26/2026
P,17058,Romaine Lettuce,3.64,47,6/22/2026
E,32058,Coffee Maker,30.39,23,6
P,19181,Organic Eggs,14.84,16,7/4/2026
P,53520,Baby Spinach,5.01,13,6/9/2026
P,65311,Organic Eggs,13.9,16,7/12/2026
P,11352,Baby Spinach,5.17,23,7/9/2026
B,89534,Diet Soda Can,8.64,117,FALSE
P,10636,Romaine Lettuce,6.05,8,6/9/2026
E,26713,Coffee Maker,79.8,14,36
B,28357,Energy Drink,8.71,37,TRUE
E,77628,Blender Pro,89.86,16,6
P,38621,Romaine Lettuce,13.22,56,6/5/2026
B,1752,Diet Soda Can,1.44,87,TRUE
E,73110,Blender Pro,63.32,21,12
B,85103,Energy Drink,3.95,27,TRUE
E,32638,Coffee Maker,63.78,9,36
P,28124,Fresh Strawberries,6.26,51,6/13/2026
E,43563,Electric Mixer,29.92,12,6
B,11589,Classic Cola,4.78,42,TRUE
E,32450,Blender Pro,59.49,25,36
P,10321,Romaine Lettuce,3.55,58,7/3/2026
P,99346,Fresh Strawberries,6.77,33,6/13/2026
B,67268,Diet Soda Can,3.46,103,FALSE
E,17206,Toaster Oven,76.21,16,6
P,85416,Organic Eggs,14.16,35,6/13/2026
E,78754,Toaster Oven,77.24,7,12
P,88089,Baby Spinach,10.66,6,6/20/2026
E,97477,Toaster Oven,56.96,24,6
B,45510,Energy Drink,3.48,57,TRUE
P,83666,Whole Milk,2.85,5,7/6/2026
P,60947,Whole Milk,8.5,15,6/24/2026
E,26915,Coffee Maker,45.98,14,12
E,5243,Mini Rice Cooker,16.82,24,12
E,35905,Mini Rice Cooker,92.34,18,12
E,5331,Toaster Oven,28.58,10,6
P,99030,Baby Spinach,3.43,41,7/3/2026
P,5918,Romaine Lettuce,8.94,17,6/18/2026
E,4720,Electric Mixer,54.4,21,36
P,47837,Organic Eggs,4.58,5,6/24/2026
E,75784,Coffee Maker,58.27,21,6
E,3851,Blender Pro,42.78,12,12
B,36698,Apple Juice,7.14,59,FALSE
B,75489,Classic Cola,3.65,50,FALSE
P,40303,Romaine Lettuce,12.01,19,6/29/2026
P,83334,Baby Spinach,13.2,44,6/17/2026
B,73442,Energy Drink,3.67,80,TRUE
B,90954,Diet Soda Can,3.29,16,FALSE
P,79278,Avocados Bag,5.42,17,6/28/2026
E,67215,Coffee Maker,21.9,13,36
B,10813,Apple Juice,5.64,118,TRUE
P,34970,Baby Spinach,10.43,37,7/5/2026
E,12871,Blender Pro,117.27,19,6
E,72631,Coffee Maker,41.52,2,12
B,80542,Diet Soda Can,9.15,105,TRUE
E,83234,Electric Kettle,74.82,14,36
E,95170,Electric Mixer,51.58,9,12
E,56420,Electric Mixer,21.12,16,6
E,81905,Electric Kettle,46.11,5,36
E,64338,Toaster Oven,51.68,2,12
B,16617,Sparkling Water,6.68,105,TRUE
P,9058,Whole Milk,7.96,55,6/26/2026
B,30579,Diet Soda Can,5.88,54,TRUE
B,77666,Diet Soda Can,3.47,59,FALSE
E,24902,Coffee Maker,36.44,9,12
P,69740,Romaine Lettuce,6.31,49,7/12/2026
P,30372,Organic Eggs,2.5,15,6/4/2026
E,8872,Blender Pro,113.29,10,6
P,13635,Baby Spinach,5.11,51,6/17/2026
B,76481,Apple Juice,4.08,81,TRUE
B,68544,Diet Soda Can,7.04,54,FALSE
P,69567,Romaine Lettuce,14.44,5,6/21/2026
E,91006,Mini Rice Cooker,74.61,20,36
B,49077,Apple Juice,5.9,29,TRUE
P,952,Baby Spinach,9.4,38,6/29/2026
P,42498,Avocados Bag,8.66,17,6/4/2026
P,89345,Baby Spinach,6.12,14,6/3/2026
B,4339,Organic Green Tea,5.02,64,FALSE
P,25847,Avocados Bag,11.19,16,7/10/2026
B,7985,Diet Soda Can,8.44,12,FALSE
P,83923,Organic Eggs,9.26,24,6/21/2026
P,19131,Avocados Bag,9.14,15,6/11/2026
B,67538,Sparkling Water,5.05,77,TRUE
E,4127,Coffee Maker,23.17,4,36
B,6650,Diet Soda Can,6.44,74,FALSE
E,62059,Blender Pro,50.86,19,36
E,23834,Electric Kettle,23.33,10,36
E,53247,Coffee Maker,24.73,21,36
P,49224,Avocados Bag,7.45,21,7/9/2026
P,75978,Baby Spinach,7.75,23,7/5/2026
P,30881,Romaine Lettuce,14.5,58,7/8/2026
E,44852,Coffee Maker,81.13,24,36
B,29553,Apple Juice,9.09,62,TRUE
E,34013,Electric Mixer,81.54,8,12
P,42340,Organic Eggs,7.87,32,6/8/2026
P,93499,Organic Eggs,12.2,53,6/2/2026
E,73756,Electric Mixer,41.85,8,36
P,89621,Fresh Strawberries,2.82,60,6/14/2026
B,13914,Organic Green Tea,5.83,97,FALSE
B,57997,Apple Juice,6.59,89,TRUE
B,87908,Classic Cola,7.38,39,TRUE
E,9737,Coffee Maker,36.89,20,36
B,2113,Diet Soda Can,7.43,80,FALSE
B,62738,Organic Green Tea,3.63,51,FALSE
P,33139,Romaine Lettuce,11.69,54,6/2/2026
E,19730,Mini Rice Cooker,37.77,14,12
E,61242,Toaster Oven,76.56,16,36
B,51395,Energy Drink,2.83,92,FALSE
P,91676,Romaine Lettuce,7.61,57,6/16/2026
P,38254,Organic Eggs,7.9,53,6/3/2026
B,19017,Diet Soda Can,7.84,61,TRUE
B,56901,Sparkling Water,7.72,93,TRUE
B,29878,Organic Green Tea,5.85,76,TRUE
E,9467,Electric Kettle,22.39,11,12
P,52424,Baby Spinach,9.51,59,6/5/2026
E,19214,Electric Kettle,102.55,16,36
P,18337,Romaine Lettuce,14.7,46,7/11/2026
P,4867,Fresh Strawberries,14.58,56,6/27/2026
B,25862,Diet Soda Can,2.79,66,TRUE
E,27145,Coffee Maker,56.86,15,36
B,82074,Classic Cola,5.27,63,FALSE
E,58160,Blender Pro,89.86,7,12
P,20152,Avocados Bag,12.24,30,6/15/2026
P,70168,Organic Eggs,5.86,30,6/1/2026
P,72626,Whole Milk,8.3,35,7/14/2026
E,84810,Mini Rice Cooker,55.55,3,6
P,73997,Fresh Strawberries,12.2,55,6/12/2026
E,96693,Blender Pro,75.29,3,36
E,78552,Toaster Oven,82.88,10,12
B,81654,Sparkling Water,4.82,59,FALSE
E,51251,Mini Rice Cooker,31.61,22,12
P,55395,Avocados Bag,5.63,32,6/5/2026
B,93426,Classic Cola,2.58,16,TRUE
E,41171,Electric Mixer,104.58,5,36
P,93329,Whole Milk,8.64,55,6/3/2026
P,41390,Baby Spinach,12.68,16,6/16/2026
P,32988,Romaine Lettuce,9.22,26,6/23/2026
P,74105,Baby Spinach,10.44,39,6/24/2026
E,15712,Electric Kettle,72.19,7,12
E,44617,Mini Rice Cooker,111.65,5,36
P,45015,Whole Milk,4.38,57,6/26/2026
P,84895,Whole Milk,5.0,20,6/16/2026
P,30952,Avocados Bag,13.1,8,6/13/2026
E,8754,Electric Kettle,43.04,8,36
P,95081,Romaine Lettuce,4.75,13,6/6/2026
E,36389,Mini Rice Cooker,56.03,9,12
E,33550,Electric Mixer,110.04,4,12
P,46570,Romaine Lettuce,11.89,18,6/20/2026
P,15181,Baby Spinach,7.47,35,6/1/2026
B,51795,Classic Cola,1.68,43,FALSE
B,85615,Organic Green Tea,7.23,50,FALSE
B,96516,Apple Juice,5.01,119,TRUE
P,549,Organic Eggs,2.68,59,7/13/2026
B,93208,Classic Cola,3.07,51,FALSE
P,42175,Baby Spinach,11.03,11,7/10/2026
P,21001,Romaine Lettuce,8.57,45,6/25/2026
E,56841,Toaster Oven,103.43,2,6
B,94961,Apple Juice,8.36,65,FALSE
B,83610,Organic Green Tea,9.13,21,FALSE
E,50936,Coffee Maker,51.29,24,36
P,16080,Avocados Bag,5.73,47,6/20/2026
E,46231,Mini Rice Cooker,48.2,25,6
B,21070,Apple Juice,3.76,58,FALSE
P,70194,Baby Spinach,7.01,40,7/3/2026
B,57376,Apple Juice,5.01,25,TRUE
E,86714,Blender Pro,81.97,5,12
E,26232,Electric Kettle,33.02,14,36
P,18146,Organic Eggs,8.34,37,6/25/2026
B,1273,Sparkling Water,4.97,100,FALSE
E,79217,Electric Mixer,33.59,8,12
P,62867,Baby Spinach,12.38,8,7/16/2026
B,22193,Organic Green Tea,3.63,91,TRUE
P,60531,Whole Milk,4.98,30,6/27/2026
E,40546,Toaster Oven,69.46,9,12
P,35826,Romaine Lettuce,14.04,35,7/14/2026
B,81773,Organic Green Tea,9.63,106,TRUE
P,15637,Avocados Bag,7.74,47,6/6/2026
B,27927,Organic Green Tea,8.56,45,TRUE
B,49905,Apple Juice,8.68,88,TRUE
P,12003,Baby Spinach,10.37,40,6/7/2026
B,94682,Diet Soda Can,4.78,33,FALSE
E,36227,Blender Pro,86.04,18,36
P,5114,Fresh Strawberries,2.89,45,7/9/2026
B,40848,Diet Soda Can,4.57,84,TRUE
B,49374,Classic Cola,4.5,12,TRUE
P,99912,Organic Eggs,13.94,39,6/5/2026
E,1047,Coffee Maker,73.69,24,36
B,9890,Sparkling Water,9.32,92,TRUE
E,10966,Coffee Maker,71.45,9,36
P,6588,Romaine Lettuce,5.13,59,6/21/2026
E,8952,Electric Kettle,25.48,16,12
P,44548,Whole Milk,4.37,60,7/9/2026
E,96251,Coffee Maker,15.17,25,6
B,72519,Diet Soda Can,1.61,44,TRUE
B,28069,Diet Soda Can,9.46,82,TRUE
B,75274,Apple Juice,6.01,15,FALSE
P,86635,Whole Milk,12.91,27,7/15/2026
E,79358,Blender Pro,22.32,23,36
B,78648,Diet Soda Can,5.27,115,FALSE
P,17474,Fresh Strawberries,14.34,14,6/16/2026
P,1210,Organic Eggs,10.07,55,7/10/2026
B,42272,Classic Cola,8.13,19,TRUE
P,2932,Fresh Strawberries,11.51,28,7/5/2026
E,63027,Electric Mixer,56.25,23,6
B,66544,Energy Drink,9.15,68,FALSE
B,98345,Organic Green Tea,2.15,80,TRUE
P,5118,Romaine Lettuce,3.2,15,6/3/2026
P,81306,Baby Spinach,13.15,9,7/1/2026
B,89188,Organic Green Tea,2.95,76,TRUE
B,15749,Apple Juice,3.91,38,TRUE
B,30915,Classic Cola,6.27,27,FALSE
P,48541,Organic Eggs,13.32,55,6/15/2026
E,11405,Coffee Maker,34.04,19,36
P,56594,Romaine Lettuce,8.46,35,6/17/2026
E,1412,Toaster Oven,54.41,17,12
B,2865,Sparkling Water,8.62,56,FALSE
P,85619,Romaine Lettuce,8.47,55,7/2/2026
P,42874,Whole Milk,6.31,49,6/9/2026
B,95458,Organic Green Tea,1.8,35,TRUE
E,22280,Toaster Oven,57.68,7,6
B,28789,Sparkling Water,3.98,107,TRUE
B,71381,Energy Drink,2.75,73,FALSE
B,6358,Diet Soda Can,2.84,89,TRUE
P,11525,Fresh Strawberries,12.42,49,6/15/2026
P,40759,Fresh Strawberries,4.39,23,6/8/2026
P,2376,Romaine Lettuce,5.84,45,6/12/2026
E,65664,Electric Mixer,72.29,7,6
B,78628,Diet Soda Can,4.6,60,FALSE
E,66443,Blender Pro,54.44,20,12
B,36773,Organic Green Tea,4.92,20,FALSE
B,73850,Apple Juice,3.36,115,TRUE
P,93013,Organic Eggs,9.28,60,6/12/2026
B,32188,Classic Cola,7.5,58,FALSE
E,81495,Electric Kettle,20.11,12,12
E,223,Blender Pro,77.37,12,6
E,58561,Electric Mixer,102.29,22,6
B,9220,Energy Drink,7.25,26,TRUE
B,7512,Apple Juice,7.32,87,FALSE
B,66563,Apple Juice,7.33,101,FALSE
E,68994,Mini Rice Cooker,92.39,4,6
E,7650,Mini Rice Cooker,59.46,24,6
P,44170,Organic Eggs,3.68,23,6/28/2026
B,23226,Classic Cola,5.0,64,TRUE
B,12338,Diet Soda Can,4.85,89,TRUE
P,36210,Organic Eggs,13.48,58,6/18/2026
P,23662,Romaine Lettuce,4.11,22,7/4/2026
P,57330,Avocados Bag,8.14,51,6/23/2026
E,81141,Blender Pro,118.02,10,6
P,8786,Whole Milk,10.21,57,6/2/2026
E,4201,Electric Mixer,53.26,17,12
E,23069,Toaster Oven,111.83,3,36
B,69690,Classic Cola,6.38,78,FALSE
E,10537,Coffee Maker,118.03,5,36
P,58455,Romaine Lettuce,7.94,18,6/5/2026
E,52454,Electric Kettle,37.55,8,12
B,70896,Organic Green Tea,3.9,90,TRUE
P,8210,Baby Spinach,6.19,43,6/4/2026
E,32245,Electric Kettle,67.36,4,36
P,42675,Organic Eggs,4.25,30,6/21/2026
P,25119,Whole Milk,10.24,47,6/24/2026
P,57344,Avocados Bag,13.83,34,6/3/2026
E,23806,Coffee Maker,53.65,16,6
E,32337,Toaster Oven,65.39,5,12
P,50752,Baby Spinach,13.06,48,6/5/2026
B,48119,Sparkling Water,2.25,42,TRUE
E,81923,Blender Pro,89.68,22,6
B,56611,Organic Green Tea,9.61,107,FALSE
P,20724,Romaine Lettuce,7.84,49,6/27/2026
B,73519,Energy Drink,7.73,98,FALSE
P,92694,Baby Spinach,9.89,9,7/14/2026
E,28658,Coffee Maker,45.12,13,36
P,70598,Fresh Strawberries,9.92,58,6/24/2026
P,8639,Baby Spinach,2.92,17,6/22/2026
E,67169,Electric Mixer,46.71,19,36
P,66784,Whole Milk,4.83,15,7/5/2026
B,48864,Diet Soda Can,9.25,50,FALSE
E,90958,Electric Mixer,46.59,8,36
E,32374,Electric Kettle,56.81,13,6
B,54089,Sparkling Water,2.36,73,TRUE
B,10394,Diet Soda Can,3.62,21,TRUE
B,31727,Apple Juice,6.49,41,TRUE
B,61970,Organic Green Tea,9.14,26,FALSE
E,42385,Electric Kettle,52.6,9,6
B,778,Organic Green Tea,8.85,46,FALSE
P,3603,Baby Spinach,5.82,11,7/3/2026
P,72654,Avocados Bag,3.14,21,7/13/2026
P,27107,Fresh Strawberries,4.57,15,6/29/2026
B,27755,Organic Green Tea,3.7,71,TRUE
B,59878,Organic Green Tea,2.67,75,TRUE
P,5977,Baby Spinach,2.81,52,6/5/2026
E,75692,Mini Rice Cooker,105.89,19,6
P,48931,Avocados Bag,14.17,37,7/8/2026
E,38569,Electric Kettle,108.81,9,6
B,44780,Sparkling Water,2.66,79,FALSE
P,14766,Fresh Strawberries,5.61,14,6/14/2026
P,34820,Avocados Bag,8.62,39,6/2/2026
B,16871,Energy Drink,5.95,107,TRUE
E,8553,Electric Mixer,74.04,25,12
P,79508,Avocados Bag,8.16,46,6/15/2026
B,26635,Apple Juice,8.52,99,TRUE
E,6921,Electric Mixer,88.83,20,6
P,89473,Romaine Lettuce,4.21,27,6/27/2026
P,69418,Baby Spinach,11.81,20,6/7/2026
P,71519,Organic Eggs,7.27,56,6/4/2026
E,28052,Electric Mixer,45.42,20,12
B,50182,Energy Drink,9.74,45,FALSE
E,74056,Electric Kettle,35.78,3,12
E,66716,Mini Rice Cooker,43.41,22,12
E,39241,Mini Rice Cooker,60.39,18,36
P,58033,Romaine Lettuce,14.41,32,7/13/2026
P,14243,Avocados Bag,6.92,52,6/21/2026
P,20046,Romaine Lettuce,6.43,6,7/7/2026
B,8561,Sparkling Water,5.55,113,FALSE
E,28722,Mini Rice Cooker,90.2,10,36
P,97847,Romaine Lettuce,5.3,25,6/12/2026
P,8787,Baby Spinach,10.43,19,6/15/2026
B,88433,Diet Soda Can,9.47,67,TRUE
P,76853,Organic Eggs,11.36,24,6/5/2026
B,92291,Diet Soda Can,8.67,103,TRUE
P,34480,Organic Eggs,5.62,26,6/18/2026
P,83369,Whole Milk,10.13,47,6/4/2026
P,14612,Fresh Strawberries,8.48,7,6/10/2026
P,58477,Avocados Bag,12.64,43,7/2/2026
P,52703,Avocados Bag,12.58,55,6/1/2026
P,59269,Baby Spinach,3.5,49,6/24/2026
B,68666,Energy Drink,2.3,41,FALSE
P,98730,Organic Eggs,14.56,5,6/15/2026
B,11665,Apple Juice,2.82,117,TRUE
B,58966,Classic Cola,7.56,20,FALSE
B,37210,Apple Juice,3.69,68,TRUE
E,34738,Blender Pro,39.32,9,6
E,28908,Electric Mixer,95.28,15,12
E,65187,Coffee Maker,51.09,3,36
E,88421,Electric Mixer,46.8,9,12
B,1415,Organic Green Tea,4.37,59,FALSE
E,60946,Electric Kettle,98.31,14,36
B,94410,Apple Juice,5.52,113,TRUE
P,22044,Baby Spinach,8.05,34,7/10/2026
P,28076,Romaine Lettuce,5.5,54,6/6/2026
P,25447,Organic Eggs,8.31,33,6/23/2026
E,89206,Coffee Maker,116.52,9,6
E,11136,Mini Rice Cooker,51.55,17,36
E,27670,Blender Pro,65.63,11,12
B,69295,Diet Soda Can,3.83,19,FALSE
E,39860,Electric Kettle,32.36,3,6
P,79304,Avocados Bag,2.79,30,6/9/2026
B,20715,Diet Soda Can,2.05,120,FALSE
P,64619,Romaine Lettuce,9.51,15,6/22/2026
E,79775,Mini Rice Cooker,92.15,6,12
E,93249,Coffee Maker,65.29,9,6
P,69283,Baby Spinach,14.82,58,6/19/2026
P,37329,Organic Eggs,3.78,30,7/7/2026
E,44928,Toaster Oven,63.61,3,12
B,28332,Sparkling Water,9.91,88,FALSE
E,13513,Blender Pro,29.06,22,12
B,20642,Diet Soda Can,6.51,39,FALSE
E,66734,Electric Mixer,45.23,11,6
B,24928,Classic Cola,8.88,85,TRUE
E,8322,Electric Kettle,103.03,16,36
P,85964,Fresh Strawberries,4.16,40,6/2/2026
E,56062,Coffee Maker,90.72,19,12
P,157,Baby Spinach,9.55,15,7/6/2026
P,3286,Avocados Bag,14.15,6,7/16/2026
B,72803,Classic Cola,6.02,30,FALSE
B,74513,Diet Soda Can,8.83,73,TRUE
B,29484,Energy Drink,5.52,106,FALSE
P,63724,Romaine Lettuce,9.81,50,6/15/2026
B,85916,Classic Cola,4.03,106,FALSE
P,99639,Romaine Lettuce,6.04,35,6/17/2026
E,2823,Electric Kettle,32.66,19,6
E,28586,Electric Kettle,116.09,11,6
P,15052,Organic Eggs,4.02,19,6/14/2026
P,96551,Romaine Lettuce,14.67,43,6/4/2026
P,24399,Fresh Strawberries,8.2,43,7/4/2026
E,3693,Toaster Oven,58.6,13,12
B,50527,Diet Soda Can,6.44,18,FALSE
E,67609,Toaster Oven,48.39,21,12
E,79046,Coffee Maker,63.8,7,36
B,14859,Diet Soda Can,9.71,111,TRUE
E,74716,Blender Pro,116.21,6,6
P,55371,Fresh Strawberries,8.65,10,6/6/2026
E,55937,Electric Kettle,102.07,17,12
P,80620,Romaine Lettuce,14.37,55,6/24/2026
E,59006,Electric Mixer,51.24,24,36
B,3592,Diet Soda Can,2.83,37,TRUE
P,41880,Avocados Bag,7.16,56,7/15/2026
E,47990,Toaster Oven,73.74,3,6
B,64628,Energy Drink,6.91,26,FALSE
P,41163,Fresh Strawberries,11.21,40,7/5/2026
B,95745,Organic Green Tea,1.64,57,TRUE
P,38228,Avocados Bag,8.17,10,6/13/2026
B,37158,Sparkling Water,2.63,36,FALSE
E,48237,Electric Mixer,54.91,19,12
P,13265,Avocados Bag,2.51,13,6/10/2026
B,54275,Organic Green Tea,7.06,51,FALSE
B,48132,Apple Juice,5.54,12,FALSE
E,57845,Mini Rice Cooker,113.1,16,36
B,96762,Organic Green Tea,1.17,62,TRUE
E,31765,Blender Pro,96.22,21,12
E,48256,Electric Mixer,18.77,3,36
P,22701,Whole Milk,8.37,54,7/8/2026
B,31438,Sparkling Water,6.49,110,FALSE
E,67179,Coffee Maker,89.05,15,6
B,59788,Classic Cola,3.59,95,FALSE
P,8127,Fresh Strawberries,7.59,49,6/19/2026
B,84844,Organic Green Tea,4.66,104,TRUE
P,4397,Romaine Lettuce,12.21,40,6/5/2026
B,39098,Apple Juice,4.32,89,TRUE
B,1918,Energy Drink,8.68,48,TRUE
B,55336,Energy Drink,7.47,40,FALSE
E,46962,Blender Pro,22.54,3,12
B,28827,Organic Green Tea,2.53,69,TRUE
E,39143,Blender Pro,36.78,18,6
E,80245,Coffee Maker,52.05,4,12
P,82489,Fresh Strawberries,5.29,59,6/23/2026
P,16908,Baby Spinach,11.3,46,7/11/2026
P,60646,Organic Eggs,5.73,11,7/7/2026
P,67149,Romaine Lettuce,4.14,57,7/14/2026
P,91141,Romaine Lettuce,14.82,38,6/19/2026
E,59886,Electric Kettle,35.58,21,36
E,17941,Blender Pro,114.24,17,36
P,21668,Organic Eggs,10.93,48,6/1/2026
E,44917,Electric Kettle,109.92,4,36
P,47903,Organic Eggs,4.49,12,6/15/2026
E,31741,Blender Pro,117.97,3,36
P,23511,Baby Spinach,9.65,13,7/2/2026
B,46295,Apple Juice,3.63,52,TRUE
P,94389,Baby Spinach,9.85,22,7/13/2026
B,51812,Apple Juice,4.28,49,FALSE
B,67328,Organic Green Tea,4.0,61,TRUE
P,4162,Avocados Bag,4.92,50,6/27/2026
P,16068,Baby Spinach,10.44,53,6/5/2026
P,36819,Baby Spinach,4.41,7,6/16/2026
E,91034,Coffee Maker,64.7,7,36
E,36742,Blender Pro,68.31,5,36
P,49441,Avocados Bag,4.01,39,6/7/2026
P,78807,Fresh Strawberries,12.26,35,6/22/2026
B,26771,Diet Soda Can,7.91,50,FALSE
P,20562,Whole Milk,10.91,29,6/5/2026
E,49783,Electric Mixer,105.78,21,36
E,34006,Mini Rice Cooker,22.8,16,36
E,12215,Coffee Maker,64.76,5,36
B,92687,Organic Green Tea,1.76,51,FALSE
B,40491,Apple Juice,5.35,82,TRUE
E,39494,Toaster Oven,57.28,22,6
P,81326,Fresh Strawberries,3.68,45,6/20/2026
P,66742,Romaine Lettuce,4.08,25,6/29/2026
B,4980,Sparkling Water,9.62,50,FALSE
B,36944,Organic Green Tea,3.36,79,FALSE
P,41283,Baby Spinach,12.24,20,6/4/2026
B,57134,Sparkling Water,5.07,26,TRUE
P,58062,Romaine Lettuce,14.4,8,6/22/2026
B,26584,Apple Juice,7.32,107,TRUE
